can_smiles,bde_gnn,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,RingCount,NumRotatableBonds,fr_aryl_methyl,fr_NH1,fr_NH2,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,MaxPartialCharge,MinPartialCharge,MinEStateIndex,TPSA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,NPR1,NPR2,PMI3,PBF,Nper,OB,C,H,O,N,N_NO2,O_NO2,c_3NO2,c_2NO2,NO2_content,benzene,ring_content,Td
[N-]=[N+]=Nc1c([N+](=O)[O-])nn(CCn2nnnc2N)c1[N+](=O)[O-],289.50406,2,16,0,0,0,0,2,12,1,16,2,6,2,0,1,2,0,0,0.4296328492414147,-0.366638149,-0.98720679,222.48,0,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,4,0,2,2,0,0,2,0,0,0,0,0,0,0,0,-0.23456609,0,0,0,0,0,0,0,-2.548982899,0,0,0,5.422100137116371,0,0,0,0,0,0,2.974358780549257,13.6564712667283,0,-1.924747417,1.82712285840262,0,0,21.88666325480809,0,0,0,0,0,0,0.1995352162148165,0.8281540910110815,4284.440114783004,0.4467003873026824,0.541596549256272,-0.567386861,6,6,4,12,0,0,0,0,0.3636363636363636,0,0.4545454545454545,159
[N-]=[N+]=Nc1c([N+](=O)[O-])nn(CN(Cn2nc([N+](=O)[O-])c(N=[N+]=[N-])c2[N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-],192.98897,0,26,0,0,0,0,2,16,0,26,2,11,0,0,0,5,0,0,0.4297263520680608,-0.357792244,-1.34068045,352.0999999999999,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,2,1,5,2,0,0,5,0,0,0,0,0,0,0,0,-2.653244048,0,0,0,0,0,0,0,-7.725252981,0,0,0,0,0,0,0,0,0,0,5.590377559477765,6.355838078267732,-0.076201814,-6.461427471,0.1449115016376918,0,0,56.22663057160637,0,0,0,0,0,0,0.2891686555066783,0.8455967999781825,8444.863987080835,0.975159015718162,0.4625977340971701,-0.264341562,8,4,10,16,1,0,0,0,0.5882352941176471,0,0.2941176470588235,166
[N-]=[N+]=Nc1c(I)c([N+](=O)[O-])c(I)c([N+](=O)[O-])c1I,234.20679,0,9,0,0,0,1,1,5,0,12,1,3,0,0,0,2,2,0,0.302916735133957,-0.258239902,-0.733114135,135.04000000000002,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,-0.882557596,0,0,0,0,0,0,0,0,0,0,3.286296296296296,0,0,-1.466228269,0,0,0,21.842647127739983,0,0,0,0,0,4.804337358276644,0.5044755409366097,0.5316976303681228,6489.896840911795,0.4393446075283391,0.1192892406217355,-0.218128897,6,0,4,5,0,0,0,0,0.4444444444444444,1,0.3333333333333333,170
[N-]=[N+]=Nc1c(-n2cncn2)c(N=[N+]=[N-])c([N+](=O)[O-])c(N=[N+]=[N-])c1[N+](=O)[O-],256.92545,0,18,0,0,0,1,2,10,0,18,2,6,0,0,0,2,2,0,0.2973474852853239,-0.258283996,-1.171583522,263.27,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.932097190728143,0,0,0,0,-5.675245654,0,0,0,0,0,0,0,0,0,0,9.204933390022676,7.208630952380952,0,-2.302928949,0.7578325774754346,0,0,22.851334404132025,0,0,0,0,0,0,0.4987847405577529,0.579461278985275,4075.374956096903,0.5308629515784379,0.5471834013590249,-0.580684426,8,2,4,14,0,0,0,0,0.3076923076923077,1,0.4230769230769231,132
[N-]=[N+]=Nc1c(-n2nc3c4no[n+]([O-])c4c4no[n+]([O-])c4c3n2)c(N=[N+]=[N-])c([N+](=O)[O-])c(N=[N+]=[N-])c1[N+](=O)[O-],275.13898,0,26,0,0,0,2,5,16,0,26,5,6,0,0,0,2,2,0,0.3058411520458335,-0.358947505,-1.376349469,369.21,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,3,4,0,2,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.128837255,-2.54282113,0,0,0,0,0,0,0,0,0,9.27657377301497,14.817042205860886,0,-2.540499041,0.0511251788412123,0,0,23.78377203978214,0,8.99959936780186,0,0,0,0,0.2754745408118629,0.8585310237910505,9983.25591166204,0.8711991706338247,0.4806866952789697,-0.488316643,12,0,8,18,0,0,0,0,0.2105263157894736,2,0.7105263157894737,153
[N-]=[N+]=Nc1cc(N=[N+]=[N-])c2n[n+]3[n-]c4c([N+](=O)[O-])cc([N+](=O)[O-])cc4n3c2n1,277.8153,0,17,0,0,0,1,4,9,0,17,4,4,0,0,0,2,2,2,0.2922771888648737,-0.258305549,-0.810755095,232.18999999999997,0,0,0,0,0,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,2,3,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.023039941259638,0,0,0,0,-1.35712963,-0.212924645,0,0,0,0,0,0,0,0,0,6.789085411942555,12.10170162509448,0,-1.603122058,2.0483900226757368,0,0,22.47137686561208,0,0,0,0,0,0,0.3017839126096965,0.6982160876009301,6635.597205468377,3.050656445195027e-05,0.4773995887018926,-0.818399295,11,3,4,13,0,0,0,0,0.2857142857142857,1,0.7857142857142857,181
[N-]=[N+]=Nc1cc(N=[N+]=[N-])nc(N=[N+]=[N-])n1,138.072,0,11,0,0,0,0,1,5,0,11,1,3,0,0,0,0,0,0,0.2167943541319597,-0.225142097,-0.287222222,172.06,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1486451247165534,0,0,0,0,-0.486666667,0,0,0,0,0,0,0,0,0,0,9.394875283446712,7.1197732426303855,0,0,0,0,0,0,0,0,0,0,0,0,0.3374796861849043,0.6625203138151506,1899.1401081541337,3.850577738884197e-07,0.7581389166490259,-0.669525277,4,1,0,11,0,0,0,0,0,0,0.4,154
[N-]=[N+]=Nc1n[n+]([O-])nc2c([N+](=O)[O-])n[nH]c12,273.11826,1,12,0,0,0,0,2,7,1,12,2,2,0,1,0,1,0,0,0.4220974638194484,-0.56928563,-0.827676682,173.29999999999998,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.000472411,-0.394444444,0,0,0,0,0,0,2.216388888888889,0,0,3.0830772864701435,9.747248677248676,0,-0.827676682,-0.185648148,0,0,10.504407281431092,0,0,0,0,0,0,0.3593091204455969,0.6424371006009842,1808.105739449352,0.0654095106053412,0.5647387859012514,-0.394420739,4,1,3,9,0,0,0,0,0.25,0,0.6875,0.32
[N-]=[N+]=Nc1n[nH]c(N)c1[N+](=O)[O-],241.94864,3,9,0,0,0,0,1,5,2,9,1,2,0,1,1,1,0,0,0.339738940671478,-0.378314713,-0.774953704,146.6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.101666667,0,0,0,5.129554043839757,0,0,0,2.12462962962963,0,0,2.965231481481481,3.3146296296296294,0,-0.774953704,0,0,0,10.260778533635676,0,0,0,0,0,0,0.3264677113898906,0.673532288627576,1022.1258271202196,4.9769295497538924e-06,0.579525026019491,-0.520389819,3,3,2,7,0,0,0,0,0.3333333333333333,0,0.4166666666666667,157
[N-]=[N+]=Nc1n[nH]c(N[N+](=O)[O-])n1,220.4746,2,10,0,0,0,0,1,5,2,10,1,3,0,2,0,1,0,0,0.2808251333552101,-0.240504785,-0.819065571,145.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.398842593,0,0,0,0,0,0,1.693293650793651,2.143148148148148,0,0,2.999095804988662,6.735787037037037,0,-0.819065571,0,0,0,9.839070924666164,0,0,0,0,0,0,0.1317532778871626,0.8899487369820279,1325.5728120275076,0.2031027587340472,0.6584671824659595,-0.282200221,2,2,2,8,1,0,0,0,0.3333333333333333,0,0.4166666666666667,143
